[ | (user: ! height: 1.5018109987397428; locat: Point3D [x = 0.726022736111425, y = 2.5154106474713678, z = 2.555899827416877]	 at: 2016-04-19T17:36:34.746) | ]	2016-04-19T17:36:34.746
[ | (user: ! height: 1.5670680917722262; locat: Point3D [x = 0.7156329333327389, y = 2.5173103430177295, z = 2.5760875845983966]	 at: 2016-04-19T17:36:35.409) |  | (user: @ height: 1.534743610252836; locat: Point3D [x = 0.8926774969415452, y = 2.556730322987215, z = 0.8709063537286805]	 at: 2016-04-19T17:36:35.409) | ]	2016-04-19T17:36:35.410
[ | (user: ! height: 1.5670680917722262; locat: Point3D [x = 0.7156329333327389, y = 2.5173103430177295, z = 2.5760875845983966]	 at: 2016-04-19T17:36:35.438) |  | (user: @ height: 1.534743610252836; locat: Point3D [x = 0.8926774969415452, y = 2.556730322987215, z = 0.8709063537286805]	 at: 2016-04-19T17:36:35.438) | ]	2016-04-19T17:36:35.439
[ | (user: ! height: 1.5675541370089372; locat: Point3D [x = 0.7132615093206731, y = 2.5168758757518703, z = 2.5816371707491825]	 at: 2016-04-19T17:36:35.476) |  | (user: @ height: 1.5481284456329525; locat: Point3D [x = 0.879479717273331, y = 2.5362595048286836, z = 0.9381429306714452]	 at: 2016-04-19T17:36:35.476) | ]	2016-04-19T17:36:35.477
[ | (user: ! height: 1.5675541370089372; locat: Point3D [x = 0.7132615093206731, y = 2.5168758757518703, z = 2.5816371707491825]	 at: 2016-04-19T17:36:35.508) |  | (user: @ height: 1.5481284456329525; locat: Point3D [x = 0.879479717273331, y = 2.5362595048286836, z = 0.9381429306714452]	 at: 2016-04-19T17:36:35.508) | ]	2016-04-19T17:36:35.509
[ | (user: ! height: 1.5648851108426909; locat: Point3D [x = 0.7113992729017402, y = 2.516068698553311, z = 2.5865252585061693]	 at: 2016-04-19T17:36:35.554) |  | (user: @ height: 1.4909384464987765; locat: Point3D [x = 0.8700411145366967, y = 2.52205695423939, z = 0.9900249108420208]	 at: 2016-04-19T17:36:35.554) | ]	2016-04-19T17:36:35.555
[ | (user: ! height: 1.5653046470184768; locat: Point3D [x = 0.7096354657467489, y = 2.5149694407550824, z = 2.593256066534928]	 at: 2016-04-19T17:36:35.591) |  | (user: @ height: 1.4924395794669016; locat: Point3D [x = 0.861943445058274, y = 2.51648657703246, z = 1.042696611907456]	 at: 2016-04-19T17:36:35.591) | ]	2016-04-19T17:36:35.591
[ | (user: ! height: 1.5653046470184768; locat: Point3D [x = 0.7096354657467489, y = 2.5149694407550824, z = 2.593256066534928]	 at: 2016-04-19T17:36:35.623) |  | (user: @ height: 1.4924395794669016; locat: Point3D [x = 0.861943445058274, y = 2.51648657703246, z = 1.042696611907456]	 at: 2016-04-19T17:36:35.623) | ]	2016-04-19T17:36:35.623
[ | (user: ! height: 1.5639074272210123; locat: Point3D [x = 0.709272719968, y = 2.514467658662241, z = 2.59744256294362]	 at: 2016-04-19T17:36:35.657) |  | (user: @ height: 1.4023672753978316; locat: Point3D [x = 0.8494449296499367, y = 2.551351540872019, z = 1.050878947523431]	 at: 2016-04-19T17:36:35.657) | ]	2016-04-19T17:36:35.657
[ | (user: ! height: 1.5639074272210123; locat: Point3D [x = 0.709272719968, y = 2.514467658662241, z = 2.59744256294362]	 at: 2016-04-19T17:36:35.689) |  | (user: @ height: 1.4023672753978316; locat: Point3D [x = 0.8494449296499367, y = 2.551351540872019, z = 1.050878947523431]	 at: 2016-04-19T17:36:35.689) | ]	2016-04-19T17:36:35.689
[ | (user: ! height: 1.561478281219832; locat: Point3D [x = 0.7089701489763305, y = 2.5122422804667104, z = 2.607865104766276]	 at: 2016-04-19T17:36:35.733) |  | (user: @ height: 1.4041265932749942; locat: Point3D [x = 0.8535386041514633, y = 2.5642457095648528, z = 1.1228085858089696]	 at: 2016-04-19T17:36:35.733) | ]	2016-04-19T17:36:35.733
[ | (user: ! height: 1.561478281219832; locat: Point3D [x = 0.7089701489763305, y = 2.5122422804667104, z = 2.607865104766276]	 at: 2016-04-19T17:36:35.761) |  | (user: @ height: 1.4041265932749942; locat: Point3D [x = 0.8535386041514633, y = 2.5642457095648528, z = 1.1228085858089696]	 at: 2016-04-19T17:36:35.761) | ]	2016-04-19T17:36:35.762
[ | (user: ! height: 1.5602006182726313; locat: Point3D [x = 0.7089366321149018, y = 2.5120415230877775, z = 2.610647569950245]	 at: 2016-04-19T17:36:35.800) |  | (user: @ height: 1.4058095603082728; locat: Point3D [x = 0.8544078293043724, y = 2.5641910648301764, z = 1.1253488881335858]	 at: 2016-04-19T17:36:35.800) | ]	2016-04-19T17:36:35.800
[ | (user: ! height: 1.559462415507194; locat: Point3D [x = 0.7093106208914715, y = 2.512001174653144, z = 2.612379345168049]	 at: 2016-04-19T17:36:35.835) |  | (user: @ height: 1.410328651400613; locat: Point3D [x = 0.8609678710454745, y = 2.5665007236395474, z = 1.1536107440960839]	 at: 2016-04-19T17:36:35.835) | ]	2016-04-19T17:36:35.835
[ | (user: ! height: 1.5612338256698357; locat: Point3D [x = 0.7094475167643092, y = 2.5118621177632097, z = 2.6146319045301967]	 at: 2016-04-19T17:36:35.865) |  | (user: @ height: 1.4113698672415178; locat: Point3D [x = 0.8646926479392562, y = 2.5657889842418213, z = 1.165604668105367]	 at: 2016-04-19T17:36:35.865) | ]	2016-04-19T17:36:35.865
[ | (user: ! height: 1.5612338256698357; locat: Point3D [x = 0.7094475167643092, y = 2.5118621177632097, z = 2.6146319045301967]	 at: 2016-04-19T17:36:35.894) |  | (user: @ height: 1.4113698672415178; locat: Point3D [x = 0.8646926479392562, y = 2.5657889842418213, z = 1.165604668105367]	 at: 2016-04-19T17:36:35.894) | ]	2016-04-19T17:36:35.896
[ | (user: ! height: 1.5560103426187626; locat: Point3D [x = 0.7104659626612523, y = 2.511389080465279, z = 2.6163307285719974]	 at: 2016-04-19T17:36:35.930) |  | (user: @ height: 1.4160802631999825; locat: Point3D [x = 0.8697306706181254, y = 2.5659539626170047, z = 1.1790215667300417]	 at: 2016-04-19T17:36:35.930) | ]	2016-04-19T17:36:35.931
[ | (user: ! height: 1.5560103426187626; locat: Point3D [x = 0.7104659626612523, y = 2.511389080465279, z = 2.6163307285719974]	 at: 2016-04-19T17:36:35.959) |  | (user: @ height: 1.4160802631999825; locat: Point3D [x = 0.8697306706181254, y = 2.5659539626170047, z = 1.1790215667300417]	 at: 2016-04-19T17:36:35.959) | ]	2016-04-19T17:36:35.959
[ | (user: ! height: 1.554600599797622; locat: Point3D [x = 0.7121389065948613, y = 2.511801829268572, z = 2.617875120492787]	 at: 2016-04-19T17:36:35.997) |  | (user: @ height: 1.4137694684891726; locat: Point3D [x = 0.8797233975838366, y = 2.568157784748466, z = 1.209146260152237]	 at: 2016-04-19T17:36:35.997) | ]	2016-04-19T17:36:35.997
[ | (user: ! height: 1.554600599797622; locat: Point3D [x = 0.7121389065948613, y = 2.511801829268572, z = 2.617875120492787]	 at: 2016-04-19T17:36:36.025) |  | (user: @ height: 1.4137694684891726; locat: Point3D [x = 0.8797233975838366, y = 2.568157784748466, z = 1.209146260152237]	 at: 2016-04-19T17:36:36.025) | ]	2016-04-19T17:36:36.026
[ | (user: ! height: 1.554038314854279; locat: Point3D [x = 0.7154377718611309, y = 2.5118434881145095, z = 2.6187097186266213]	 at: 2016-04-19T17:36:36.060) |  | (user: @ height: 1.4270350804202665; locat: Point3D [x = 0.8934204589862851, y = 2.5672946459884662, z = 1.2314392368559086]	 at: 2016-04-19T17:36:36.060) | ]	2016-04-19T17:36:36.060
[ | (user: ! height: 1.554038314854279; locat: Point3D [x = 0.7154377718611309, y = 2.5118434881145095, z = 2.6187097186266213]	 at: 2016-04-19T17:36:36.088) |  | (user: @ height: 1.4270350804202665; locat: Point3D [x = 0.8934204589862851, y = 2.5672946459884662, z = 1.2314392368559086]	 at: 2016-04-19T17:36:36.088) | ]	2016-04-19T17:36:36.088
[ | (user: ! height: 1.555533381837286; locat: Point3D [x = 0.7205597705413341, y = 2.5120050504856435, z = 2.6192417457687864]	 at: 2016-04-19T17:36:36.122) |  | (user: @ height: 1.4141168354331728; locat: Point3D [x = 0.9139876001691151, y = 2.56670339768313, z = 1.2539569603789127]	 at: 2016-04-19T17:36:36.122) | ]	2016-04-19T17:36:36.122
[ | (user: ! height: 1.5528570467039002; locat: Point3D [x = 0.7290038275902293, y = 2.5123869510164165, z = 2.618996450426393]	 at: 2016-04-19T17:36:36.154) |  | (user: @ height: 1.4174619410078138; locat: Point3D [x = 0.9382961493972196, y = 2.5664536773035778, z = 1.274613189945104]	 at: 2016-04-19T17:36:36.154) | ]	2016-04-19T17:36:36.154
[ | (user: ! height: 1.5557947551990088; locat: Point3D [x = 0.7362313781327715, y = 2.5133442333411424, z = 2.6188587767360954]	 at: 2016-04-19T17:36:36.185) |  | (user: @ height: 1.4173607319523338; locat: Point3D [x = 0.9399446132940643, y = 2.5665485834907455, z = 1.2782782092448075]	 at: 2016-04-19T17:36:36.185) | ]	2016-04-19T17:36:36.185
[ | (user: ! height: 1.5557947551990088; locat: Point3D [x = 0.7362313781327715, y = 2.5133442333411424, z = 2.6188587767360954]	 at: 2016-04-19T17:36:36.212) |  | (user: @ height: 1.4173607319523338; locat: Point3D [x = 0.9399446132940643, y = 2.5665485834907455, z = 1.2782782092448075]	 at: 2016-04-19T17:36:36.212) | ]	2016-04-19T17:36:36.212
[ | (user: ! height: 1.5372916415790354; locat: Point3D [x = 0.7415668523502145, y = 2.514331386929578, z = 2.6174244106304587]	 at: 2016-04-19T17:36:36.245) |  | (user: @ height: 1.4116562758288709; locat: Point3D [x = 0.9588781822488612, y = 2.566854293577708, z = 1.3002080583320688]	 at: 2016-04-19T17:36:36.245) | ]	2016-04-19T17:36:36.246
[ | (user: ! height: 1.533129606374004; locat: Point3D [x = 0.7510053843761707, y = 2.5154539690587714, z = 2.615896565008349]	 at: 2016-04-19T17:36:36.276) |  | (user: @ height: 1.4083343482952673; locat: Point3D [x = 0.9805034168058552, y = 2.568252830350951, z = 1.3274826518066747]	 at: 2016-04-19T17:36:36.276) | ]	2016-04-19T17:36:36.276
[ | (user: ! height: 1.533129606374004; locat: Point3D [x = 0.7510053843761707, y = 2.5154539690587714, z = 2.615896565008349]	 at: 2016-04-19T17:36:36.302) |  | (user: @ height: 1.4083343482952673; locat: Point3D [x = 0.9805034168058552, y = 2.568252830350951, z = 1.3274826518066747]	 at: 2016-04-19T17:36:36.302) | ]	2016-04-19T17:36:36.302
[ | (user: ! height: 1.5399357733656034; locat: Point3D [x = 0.7562965229984332, y = 2.5163206705239043, z = 2.615807045289851]	 at: 2016-04-19T17:36:36.334) |  | (user: @ height: 1.3932779503861557; locat: Point3D [x = 0.9848227220101907, y = 2.5677921246643685, z = 1.333096358400379]	 at: 2016-04-19T17:36:36.334) | ]	2016-04-19T17:36:36.335
[ | (user: ! height: 1.538527859564372; locat: Point3D [x = 0.7622996474386728, y = 2.5166084449058275, z = 2.6154136817874765]	 at: 2016-04-19T17:36:36.361) |  | (user: @ height: 1.3610892162316817; locat: Point3D [x = 0.9958208841080708, y = 2.566757033874685, z = 1.3477438278852847]	 at: 2016-04-19T17:36:36.361) | ]	2016-04-19T17:36:36.361
[ | (user: ! height: 1.524874274053055; locat: Point3D [x = 0.7690680028375124, y = 2.5164501320148975, z = 2.615378255737739]	 at: 2016-04-19T17:36:36.393) |  | (user: @ height: 1.353656599311917; locat: Point3D [x = 1.0037479753892409, y = 2.566680184305207, z = 1.3587843103240191]	 at: 2016-04-19T17:36:36.393) | ]	2016-04-19T17:36:36.394
[ | (user: ! height: 1.5380530712496814; locat: Point3D [x = 0.774552181611039, y = 2.516079979803951, z = 2.6157848421369216]	 at: 2016-04-19T17:36:36.426) |  | (user: @ height: 1.3389881180090062; locat: Point3D [x = 1.0096181920388885, y = 2.564524078626693, z = 1.3701706104051603]	 at: 2016-04-19T17:36:36.426) | ]	2016-04-19T17:36:36.426
[ | (user: ! height: 1.5354196854278142; locat: Point3D [x = 0.789801080768683, y = 2.5146282622140474, z = 2.6156056612785687]	 at: 2016-04-19T17:36:36.469) |  | (user: @ height: 1.320523190623859; locat: Point3D [x = 1.0181282221504684, y = 2.553833907709593, z = 1.394793341318282]	 at: 2016-04-19T17:36:36.469) | ]	2016-04-19T17:36:36.469
[ | (user: ! height: 1.5279430320014904; locat: Point3D [x = 0.7931625249850879, y = 2.514122274891295, z = 2.6157483554270127]	 at: 2016-04-19T17:36:36.498) |  | (user: @ height: 1.3205687291096524; locat: Point3D [x = 1.0162061574267796, y = 2.5495944273576807, z = 1.4040462648852448]	 at: 2016-04-19T17:36:36.498) | ]	2016-04-19T17:36:36.498
[ | (user: ! height: 1.5279388224438026; locat: Point3D [x = 0.7984861905192849, y = 2.51342105174409, z = 2.6164254808806766]	 at: 2016-04-19T17:36:36.533) |  | (user: @ height: 1.341311679748197; locat: Point3D [x = 1.011961112576604, y = 2.5444976887540913, z = 1.4126890896503315]	 at: 2016-04-19T17:36:36.533) | ]	2016-04-19T17:36:36.534
[ | (user: ! height: 1.540424824216078; locat: Point3D [x = 0.8033495295389299, y = 2.51300225248094, z = 2.6170719179000375]	 at: 2016-04-19T17:36:36.567) |  | (user: @ height: 1.346520266511153; locat: Point3D [x = 1.007481972955449, y = 2.54002433170707, z = 1.4193298547015736]	 at: 2016-04-19T17:36:36.567) | ]	2016-04-19T17:36:36.568
[ | (user: ! height: 1.5286092837343215; locat: Point3D [x = 0.8075003170551731, y = 2.512662605782988, z = 2.6174412397718507]	 at: 2016-04-19T17:36:36.600) |  | (user: @ height: 1.3955094558939212; locat: Point3D [x = 1.0053905985840728, y = 2.5363034965419455, z = 1.4252179682238533]	 at: 2016-04-19T17:36:36.600) | ]	2016-04-19T17:36:36.600
[ | (user: ! height: 1.5296796783434825; locat: Point3D [x = 0.8098274761827358, y = 2.512527116881452, z = 2.6179852170186177]	 at: 2016-04-19T17:36:36.629) |  | (user: @ height: 1.4022000712578264; locat: Point3D [x = 1.0054511127824066, y = 2.5349508751847867, z = 1.4281950433361403]	 at: 2016-04-19T17:36:36.629) | ]	2016-04-19T17:36:36.629
[ | (user: ! height: 1.5305123097911637; locat: Point3D [x = 0.8108433057845885, y = 2.512386863495927, z = 2.618122537155524]	 at: 2016-04-19T17:36:36.659) |  | (user: @ height: 1.4217856622981482; locat: Point3D [x = 1.0051084488362436, y = 2.5335621738954326, z = 1.4355920873741328]	 at: 2016-04-19T17:36:36.659) | ]	2016-04-19T17:36:36.659
[ | (user: ! height: 1.5328552643603295; locat: Point3D [x = 0.8118589939650849, y = 2.5124013461184007, z = 2.6180062888006974]	 at: 2016-04-19T17:36:36.690) |  | (user: @ height: 1.4434895371821397; locat: Point3D [x = 1.002420863240174, y = 2.5329471496907807, z = 1.4375277356190888]	 at: 2016-04-19T17:36:36.690) | ]	2016-04-19T17:36:36.690
[ | (user: ! height: 1.5338836342825222; locat: Point3D [x = 0.8125042289029178, y = 2.512416394433759, z = 2.617968034323835]	 at: 2016-04-19T17:36:36.720) |  | (user: @ height: 1.4527929664206138; locat: Point3D [x = 1.000656815668877, y = 2.5308526354535683, z = 1.4407843441841146]	 at: 2016-04-19T17:36:36.720) | ]	2016-04-19T17:36:36.721
[ | (user: ! height: 1.5338836342825222; locat: Point3D [x = 0.8125042289029178, y = 2.512416394433759, z = 2.617968034323835]	 at: 2016-04-19T17:36:36.747) |  | (user: @ height: 1.4527929664206138; locat: Point3D [x = 1.000656815668877, y = 2.5308526354535683, z = 1.4407843441841146]	 at: 2016-04-19T17:36:36.747) | ]	2016-04-19T17:36:36.748
[ | (user: ! height: 1.5328522978319092; locat: Point3D [x = 0.81260675938619, y = 2.512408591651007, z = 2.617898172173854]	 at: 2016-04-19T17:36:36.776) |  | (user: @ height: 1.4434812183563435; locat: Point3D [x = 0.9984731497204201, y = 2.529130241291309, z = 1.443516724994772]	 at: 2016-04-19T17:36:36.776) | ]	2016-04-19T17:36:36.776
[ | (user: ! height: 1.5442361716238937; locat: Point3D [x = 0.8127276039350945, y = 2.5124948121669712, z = 2.6176674432311526]	 at: 2016-04-19T17:36:36.807) |  | (user: @ height: 1.4462306922807793; locat: Point3D [x = 0.9974028092568057, y = 2.5282474788444564, z = 1.4466098151166484]	 at: 2016-04-19T17:36:36.807) | ]	2016-04-19T17:36:36.807
[ | (user: ! height: 1.5395727373281114; locat: Point3D [x = 0.8127269675389912, y = 2.5126814979521193, z = 2.617411541287041]	 at: 2016-04-19T17:36:36.837) |  | (user: @ height: 1.4541836241120514; locat: Point3D [x = 0.9953454396505365, y = 2.527949361192757, z = 1.449773523992762]	 at: 2016-04-19T17:36:36.837) | ]	2016-04-19T17:36:36.837
[ | (user: ! height: 1.5419723333750053; locat: Point3D [x = 0.8122230125360397, y = 2.5133391035743435, z = 2.6166203595095716]	 at: 2016-04-19T17:36:36.866) |  | (user: @ height: 1.457761297450101; locat: Point3D [x = 0.9939899230220699, y = 2.527794169407411, z = 1.4536664225948388]	 at: 2016-04-19T17:36:36.866) | ]	2016-04-19T17:36:36.867
[ | (user: ! height: 1.5419723333750053; locat: Point3D [x = 0.8122230125360397, y = 2.5133391035743435, z = 2.6166203595095716]	 at: 2016-04-19T17:36:36.892) |  | (user: @ height: 1.457761297450101; locat: Point3D [x = 0.9939899230220699, y = 2.527794169407411, z = 1.4536664225948388]	 at: 2016-04-19T17:36:36.892) | ]	2016-04-19T17:36:36.893
[ | (user: ! height: 1.5312304401480201; locat: Point3D [x = 0.8117258457581878, y = 2.5138457827752076, z = 2.6159845998026072]	 at: 2016-04-19T17:36:36.922) |  | (user: @ height: 1.4201578624744506; locat: Point3D [x = 0.9929147318059368, y = 2.5280623463122374, z = 1.4569008350780035]	 at: 2016-04-19T17:36:36.922) | ]	2016-04-19T17:36:36.922
[ | (user: ! height: 1.5308513682814988; locat: Point3D [x = 0.8106770649803317, y = 2.514555651840911, z = 2.614912625922328]	 at: 2016-04-19T17:36:36.951) |  | (user: @ height: 1.4232370241064927; locat: Point3D [x = 0.9920260258612058, y = 2.5279725466790017, z = 1.4607346407663762]	 at: 2016-04-19T17:36:36.951) | ]	2016-04-19T17:36:36.951
[ | (user: ! height: 1.5298160150405824; locat: Point3D [x = 0.8091922821611961, y = 2.515174684409527, z = 2.6137654158805312]	 at: 2016-04-19T17:36:36.983) |  | (user: @ height: 1.4240467362705636; locat: Point3D [x = 0.992123705591959, y = 2.527293568224068, z = 1.4651133712246025]	 at: 2016-04-19T17:36:36.983) | ]	2016-04-19T17:36:36.983
[ | (user: ! height: 1.5290742995031046; locat: Point3D [x = 0.8087468048890487, y = 2.515211187058897, z = 2.6135493240482]	 at: 2016-04-19T17:36:37.012) |  | (user: @ height: 1.440116137830124; locat: Point3D [x = 0.9937221487551025, y = 2.526121877035986, z = 1.4716746574736397]	 at: 2016-04-19T17:36:37.012) | ]	2016-04-19T17:36:37.012
[ | (user: ! height: 1.5291613226240228; locat: Point3D [x = 0.8074909125349834, y = 2.5154791505341483, z = 2.612692664182793]	 at: 2016-04-19T17:36:37.039) |  | (user: @ height: 1.4413674688004314; locat: Point3D [x = 0.996201986378859, y = 2.5237121322752265, z = 1.4797711573974461]	 at: 2016-04-19T17:36:37.039) | ]	2016-04-19T17:36:37.039
[ | (user: ! height: 1.5291613226240228; locat: Point3D [x = 0.8074909125349834, y = 2.5154791505341483, z = 2.612692664182793]	 at: 2016-04-19T17:36:37.062) |  | (user: @ height: 1.4413674688004314; locat: Point3D [x = 0.996201986378859, y = 2.5237121322752265, z = 1.4797711573974461]	 at: 2016-04-19T17:36:37.062) | ]	2016-04-19T17:36:37.062
[ | (user: ! height: 1.536477681068221; locat: Point3D [x = 0.8043516412692273, y = 2.5158145225801247, z = 2.61138706222201]	 at: 2016-04-19T17:36:37.094) |  | (user: @ height: 1.4493714931802213; locat: Point3D [x = 1.0070855547517803, y = 2.5174143121284387, z = 1.4967504246303995]	 at: 2016-04-19T17:36:37.094) | ]	2016-04-19T17:36:37.094
[ | (user: ! height: 1.536477681068221; locat: Point3D [x = 0.8043516412692273, y = 2.5158145225801247, z = 2.61138706222201]	 at: 2016-04-19T17:36:37.120) |  | (user: @ height: 1.4493714931802213; locat: Point3D [x = 1.0070855547517803, y = 2.5174143121284387, z = 1.4967504246303995]	 at: 2016-04-19T17:36:37.120) | ]	2016-04-19T17:36:37.120
[ | (user: ! height: 1.5277548494587159; locat: Point3D [x = 0.8030136538178662, y = 2.5161996387608347, z = 2.6109482317536052]	 at: 2016-04-19T17:36:37.145) |  | (user: @ height: 1.4376698492005118; locat: Point3D [x = 1.0153115754246969, y = 2.5187969878687535, z = 1.504851782377793]	 at: 2016-04-19T17:36:37.145) | ]	2016-04-19T17:36:37.145
[ | (user: ! height: 1.5401993885307026; locat: Point3D [x = 0.8015862173586851, y = 2.516290315371425, z = 2.610789910545298]	 at: 2016-04-19T17:36:37.170) |  | (user: @ height: 1.4902054029042155; locat: Point3D [x = 1.029904010788823, y = 2.5177617033045596, z = 1.5140727235050424]	 at: 2016-04-19T17:36:37.170) | ]	2016-04-19T17:36:37.171
[ | (user: ! height: 1.5401993885307026; locat: Point3D [x = 0.8015862173586851, y = 2.516290315371425, z = 2.610789910545298]	 at: 2016-04-19T17:36:37.193) |  | (user: @ height: 1.4902054029042155; locat: Point3D [x = 1.029904010788823, y = 2.5177617033045596, z = 1.5140727235050424]	 at: 2016-04-19T17:36:37.193) | ]	2016-04-19T17:36:37.193
