Person 47	2016-02-17T09:31:15.856	2016-02-17T09:31:27.648	------	------	-------	00:00:11.792	0.5358963586485905m
Person 48	2016-02-17T09:31:37.080	2016-02-17T09:32:42.447	------	------	-------	00:01:05.367	0.2331776494594041m
Person 49	2016-02-17T09:33:04.445	2016-02-17T09:33:28.745	------	------	-------	00:00:24.300	2.120704051731819m
Person 50	2016-02-17T09:33:39.240	2016-02-17T09:34:15.616	------	------	-------	00:00:36.376	1.299743887088834m
Person 51	2016-02-17T09:34:33.308	2016-02-17T09:36:18.632	------	------	-------	00:01:45.324	1.8407251175536314m
Person 52	2016-02-17T09:36:31.452	2016-02-17T09:40:20.816	------	------	-------	00:03:49.364	0.5353613757901493m
Person 53	2016-02-12T10:57:17.547	2016-02-12T11:01:49.937	------	------	-------	00:04:32.390	0.46143993791751575m
Person 54	2016-02-12T11:04:19.094	2016-02-12T11:04:41.954	------	------	-------	00:00:22.860	0.5274998917679858m
Person 55	2016-02-12T11:06:43.020	2016-02-12T11:08:11.735	------	------	-------	00:01:28.715	1.3687851827580733m
Person 56	2016-02-12T11:08:27.635	2016-02-12T11:11:03.328	------	------	-------	00:02:35.693	1.1097305497596606m
Person 57	2016-02-12T11:13:29.900	2016-02-12T11:14:09.369	------	------	-------	00:00:39.469	1.2612548181542413m
Person 58	2016-02-12T11:18:48.704	2016-02-12T11:20:02.074	------	------	-------	00:01:13.370	0.5395117019307593m
Person 59	2016-02-16T11:28:12.423	2016-02-16T11:30:08.363	------	------	-------	00:01:55.940	0.4107050108759644m
Person 60	2016-02-16T11:32:27.770	2016-02-16T11:48:32.929	------	------	-------	00:16:05.159	0.6128410969765988m
Person 61	2016-02-16T12:15:22.991	2016-02-16T12:17:19.805	------	------	-------	00:01:56.814	0.7893941640171328m
Person 62	2016-02-16T12:17:27.927	2016-02-16T12:17:53.003	------	------	-------	00:00:25.076	1.7404123681406911m
Person 63	2016-02-16T12:38:42.508	2016-02-16T12:38:56.391	------	------	-------	00:00:13.883	1.148787529790861m
Person 64	2016-02-17T09:19:03.625	2016-02-17T09:19:19.285	------	------	-------	00:00:15.660	1.0104139137733616m
Person 65	2016-02-17T09:20:37.248	2016-02-17T09:20:53.378	------	------	-------	00:00:16.130	0.3405893821670527m
Person 66	2016-02-17T09:23:32.059	2016-02-17T09:23:52.843	------	------	-------	00:00:20.784	0.204544869677015m
Person 67	2016-02-17T09:32:06.892	2016-02-17T09:32:26.296	------	------	-------	00:00:19.404	0.4090663382662895m
Person 68	2016-02-17T09:36:40.692	2016-02-17T09:38:06.760	------	------	-------	00:01:26.068	0.6231114028905671m
Person 69	2016-02-17T09:38:15.562	2016-02-17T09:39:25.658	------	------	-------	00:01:10.096	0.973703403357638m
Person 70	2016-02-12T11:00:02.450	2016-02-12T11:00:33.161	------	------	-------	00:00:30.711	0.3467753434727655m
Person 71	2016-02-12T11:19:29.429	2016-02-12T11:19:58.694	------	------	-------	00:00:29.265	1.150899787659304m
Person 72	2016-02-16T11:39:19.489	2016-02-16T11:40:50.303	------	------	-------	00:01:30.814	0.6756426557575055m
Person 73	2016-02-17T09:23:32.147	2016-02-17T09:23:50.115	------	------	-------	00:00:17.968	0.516206124045303m
Person 74	2016-02-17T09:36:43.214	2016-02-17T09:37:44.386	------	------	-------	00:01:01.172	1.24728880885523m
